member_casual,mes,total_corridas
casual,2024-11-01T00:00:00Z,7
casual,2024-12-01T00:00:00Z,38369
casual,2025-01-01T00:00:00Z,8
casual,2025-02-01T00:00:00Z,27757
casual,2025-03-01T00:00:00Z,85862
casual,2025-04-01T00:00:00Z,109239
casual,2025-05-01T00:00:00Z,182770
casual,2025-06-01T00:00:00Z,292006
casual,2025-07-01T00:00:00Z,323352
casual,2025-08-01T00:00:00Z,337878
casual,2025-09-01T00:00:00Z,265268
casual,2025-10-01T00:00:00Z,224038
casual,2025-11-01T00:00:00Z,99077
member,2024-11-01T00:00:00Z,6
member,2024-12-01T00:00:00Z,139990
member,2025-01-01T00:00:00Z,7
member,2025-02-01T00:00:00Z,124144
member,2025-03-01T00:00:00Z,212268
member,2025-04-01T00:00:00Z,262137
member,2025-05-01T00:00:00Z,319845
member,2025-06-01T00:00:00Z,386795
member,2025-07-01T00:00:00Z,440106
member,2025-08-01T00:00:00Z,452439
member,2025-09-01T00:00:00Z,449294
member,2025-10-01T00:00:00Z,422058
member,2025-11-01T00:00:00Z,257394
